Date,Close
1/2/2019 16:00:00,250.18
1/3/2019 16:00:00,244.21
1/4/2019 16:00:00,252.39
1/7/2019 16:00:00,254.38
1/8/2019 16:00:00,256.77
1/9/2019 16:00:00,257.97
1/10/2019 16:00:00,258.88
1/11/2019 16:00:00,258.98
1/14/2019 16:00:00,257.4
1/15/2019 16:00:00,260.35
1/16/2019 16:00:00,260.98
1/17/2019 16:00:00,262.96
1/18/2019 16:00:00,266.46
1/22/2019 16:00:00,262.86
1/23/2019 16:00:00,263.41
1/24/2019 16:00:00,263.55
1/25/2019 16:00:00,265.78
1/28/2019 16:00:00,263.76
1/29/2019 16:00:00,263.41
1/30/2019 16:00:00,267.58
1/31/2019 16:00:00,269.93
2/1/2019 16:00:00,270.06
2/4/2019 16:00:00,271.96
2/5/2019 16:00:00,273.1
2/6/2019 16:00:00,272.74
2/7/2019 16:00:00,270.14
2/8/2019 16:00:00,270.47
2/11/2019 16:00:00,270.62
2/12/2019 16:00:00,274.1
2/13/2019 16:00:00,274.99
2/14/2019 16:00:00,274.38
2/15/2019 16:00:00,277.37
2/19/2019 16:00:00,277.85
2/20/2019 16:00:00,278.41
2/21/2019 16:00:00,277.42
2/22/2019 16:00:00,279.14
2/25/2019 16:00:00,279.52
2/26/2019 16:00:00,279.32
2/27/2019 16:00:00,279.2
2/28/2019 16:00:00,278.68
3/1/2019 16:00:00,280.42
3/4/2019 16:00:00,279.4
3/5/2019 16:00:00,279.02
3/6/2019 16:00:00,277.33
3/7/2019 16:00:00,275.01
3/8/2019 16:00:00,274.46
3/11/2019 16:00:00,278.44
3/12/2019 16:00:00,279.49
3/13/2019 16:00:00,281.34
3/14/2019 16:00:00,281.16
3/15/2019 16:00:00,281.31
3/18/2019 16:00:00,282.33
3/19/2019 16:00:00,282.4
3/20/2019 16:00:00,281.55
3/21/2019 16:00:00,284.73
3/22/2019 16:00:00,279.25
3/25/2019 16:00:00,279.04
3/26/2019 16:00:00,281.12
3/27/2019 16:00:00,279.65
3/28/2019 16:00:00,280.71
3/29/2019 16:00:00,282.48
4/1/2019 16:00:00,285.83
4/2/2019 16:00:00,285.97
4/3/2019 16:00:00,286.42
4/4/2019 16:00:00,287.18
4/5/2019 16:00:00,288.57
4/8/2019 16:00:00,288.79
4/9/2019 16:00:00,287.31
4/10/2019 16:00:00,288.29
4/11/2019 16:00:00,288.21
4/12/2019 16:00:00,290.16
4/15/2019 16:00:00,289.97
4/16/2019 16:00:00,290.16
4/17/2019 16:00:00,289.45
4/18/2019 16:00:00,290.02
4/22/2019 16:00:00,290.27
4/23/2019 16:00:00,292.88
4/24/2019 16:00:00,292.23
4/25/2019 16:00:00,292.05
4/26/2019 16:00:00,293.41
4/29/2019 16:00:00,293.87
4/30/2019 16:00:00,294.02
5/1/2019 16:00:00,291.81
5/2/2019 16:00:00,291.18
5/3/2019 16:00:00,294.03
5/6/2019 16:00:00,292.82
5/7/2019 16:00:00,287.93
5/8/2019 16:00:00,287.53
5/9/2019 16:00:00,286.66
5/10/2019 16:00:00,288.1
5/13/2019 16:00:00,280.86
5/14/2019 16:00:00,283.4
5/15/2019 16:00:00,285.06
5/16/2019 16:00:00,287.7
5/17/2019 16:00:00,285.84
5/20/2019 16:00:00,283.95
5/21/2019 16:00:00,286.51
5/22/2019 16:00:00,285.63
5/23/2019 16:00:00,282.14
5/24/2019 16:00:00,282.78
5/28/2019 16:00:00,280.15
5/29/2019 16:00:00,278.27
5/30/2019 16:00:00,279.03
5/31/2019 16:00:00,275.27
6/3/2019 16:00:00,274.57
6/4/2019 16:00:00,280.53
6/5/2019 16:00:00,282.96
6/6/2019 16:00:00,284.8
6/7/2019 16:00:00,287.65
6/10/2019 16:00:00,288.97
6/11/2019 16:00:00,288.9
6/12/2019 16:00:00,288.39
6/13/2019 16:00:00,289.58
6/14/2019 16:00:00,289.26
6/17/2019 16:00:00,289.37
6/18/2019 16:00:00,292.4
6/19/2019 16:00:00,293.06
6/20/2019 16:00:00,295.86
6/21/2019 16:00:00,294
6/24/2019 16:00:00,293.64
6/25/2019 16:00:00,290.76
6/26/2019 16:00:00,290.47
6/27/2019 16:00:00,291.5
6/28/2019 16:00:00,293
7/1/2019 16:00:00,295.66
7/2/2019 16:00:00,296.43
7/3/2019 13:00:00,298.8
7/5/2019 16:00:00,298.46
7/8/2019 16:00:00,296.82
7/9/2019 16:00:00,297.19
7/10/2019 16:00:00,298.61
7/11/2019 16:00:00,299.31
7/12/2019 16:00:00,300.65
7/15/2019 16:00:00,300.75
7/16/2019 16:00:00,299.71
7/17/2019 16:00:00,297.74
7/18/2019 16:00:00,298.83
7/19/2019 16:00:00,297.17
7/22/2019 16:00:00,297.9
7/23/2019 16:00:00,300.03
7/24/2019 16:00:00,301.44
7/25/2019 16:00:00,300
7/26/2019 16:00:00,302.01
7/29/2019 16:00:00,301.46
7/30/2019 16:00:00,300.72
7/31/2019 16:00:00,297.43
8/1/2019 16:00:00,294.84
8/2/2019 16:00:00,292.62
8/5/2019 16:00:00,283.82
8/6/2019 16:00:00,287.8
8/7/2019 16:00:00,287.97
8/8/2019 16:00:00,293.62
8/9/2019 16:00:00,291.62
8/12/2019 16:00:00,288.07
8/13/2019 16:00:00,292.55
8/14/2019 16:00:00,283.9
8/15/2019 16:00:00,284.65
8/16/2019 16:00:00,288.85
8/19/2019 16:00:00,292.33
8/20/2019 16:00:00,290.09
8/21/2019 16:00:00,292.45
8/22/2019 16:00:00,292.36
8/23/2019 16:00:00,284.85
8/26/2019 16:00:00,288
8/27/2019 16:00:00,286.87
8/28/2019 16:00:00,288.89
8/29/2019 16:00:00,292.58
8/30/2019 16:00:00,292.45
9/3/2019 16:00:00,290.74
9/4/2019 16:00:00,294.04
9/5/2019 16:00:00,297.82
9/6/2019 16:00:00,298.05
9/9/2019 16:00:00,298.2
9/10/2019 16:00:00,298.13
9/11/2019 16:00:00,300.25
9/12/2019 16:00:00,301.29
9/13/2019 16:00:00,301.09
9/16/2019 16:00:00,300.16
9/17/2019 16:00:00,300.92
9/18/2019 16:00:00,301.1
9/19/2019 16:00:00,301.08
9/20/2019 16:00:00,298.28
